2023-10-02/21:26:39		Entered the get_best_params_for_random_forest method of the Model_Finder class
2023-10-02/21:26:42		Exception occured in get_best_params_for_random_forest method of the Model_Finder class. Exception message:  multiclass-multioutput is not supported
2023-10-02/21:26:42		Random Forest Parameter tuning  failed. Exited the get_best_params_for_random_forest method of the Model_Finder class
2023-10-02/21:31:37		Entered the get_best_params_for_Ensembled_KNN method of the Model_Finder class
2023-10-02/21:31:37		Exception occured in knn method of the Model_Finder class. Exception message:  multiclass-multioutput is not supported
2023-10-02/21:31:37		knn Parameter tuning  failed. Exited the knn method of the Model_Finder class
2023-10-02/21:32:27		Entered the get_best_params_for_Ensembled_KNN method of the Model_Finder class
2023-10-02/21:32:28		Exception occured in knn method of the Model_Finder class. Exception message:  multiclass-multioutput is not supported
2023-10-02/21:32:28		knn Parameter tuning  failed. Exited the knn method of the Model_Finder class
2023-10-02/21:42:39		Entered the get_best_params_for_Ensembled_KNN method of the Model_Finder class
2023-10-02/21:42:39		Exception occured in knn method of the Model_Finder class. Exception message:  multiclass-multioutput is not supported
2023-10-02/21:42:39		knn Parameter tuning  failed. Exited the knn method of the Model_Finder class
2023-10-03/08:53:04		Entered the create_clusters method of the KMeansClustering class
2023-10-03/08:53:04		Entered the save_model method of the File_Operation class
2023-10-03/08:53:04		Model File KMeans saved. Exited the save_model method of the Model_Finder class
2023-10-03/08:53:04		Exception occured in create_clusters method of the KMeansClustering class. Exception message:  'Model_Finder' object has no attribute 'kn'
2023-10-03/08:53:04		Fitting the data to clusters failed. Exited the create_clusters method of the KMeansClustering class
